7.654e-05,0.00014325,0.00014014,0.00024482,0.000138,0.00026887,-0.001211,8.4414e-05,0.00011585,2.826e-05,-1.9654e-05,6.0427e-05,8.356e-05,0.00015772,0.00010169
6.6042e-05,0.00015131,0.0001438,0.00026185,0.00013153,0.00025959,-0.0011866,7.9592e-05,0.00010761,4.0101e-05,-1.7579e-05,7.2817e-05,7.654e-05,0.00015394,9.1311e-05
6.6286e-05,0.00016071,0.00014966,0.00026832,0.00013898,0.00025263,-0.0011753,7.7822e-05,0.00010572,6.0915e-05,-1.4466e-05,8.417e-05,6.8972e-05,0.00015101,7.4343e-05
8.0447e-05,0.00017255,0.00015973,0.00024781,0.00014655,0.00024567,-0.001175,8.2461e-05,0.0001128,9.1189e-05,-8.8504e-06,0.00010871,7.062e-05,0.00015656,7.9775e-05
9.772e-05,0.00019184,0.00017963,0.00022669,0.0001471,0.00024036,-0.0011751,8.9663e-05,0.00013184,0.00011823,-2.3804e-06,0.00013593,8.2766e-05,0.0001767,0.00010077
0.00011182,0.00022108,0.00020661,0.00023078,0.0001521,0.00023994,-0.0011659,0.00010199,0.00016041,0.00014136,1.2574e-05,0.00015888,9.1494e-05,0.00020258,0.00012439
0.00012891,0.00025538,0.00023518,0.0002588,0.00016913,0.00024287,-0.0011508,0.00012519,0.0001908,0.00017188,3.7904e-05,0.00018574,0.00010309,0.00023206,0.00014863
0.00014148,0.00027815,0.00025758,0.00027253,0.0001858,0.00023383,-0.0011416,0.00014606,0.00021125,0.00020978,6.1708e-05,0.00021186,0.00011542,0.00025251,0.00016498
0.00014093,0.00029102,0.0002638,0.00026521,0.00018323,0.00020832,-0.0011384,0.00015784,0.00021961,0.00024073,7.7822e-05,0.00023383,0.00012079,0.00025867,0.00016913
0.00012537,0.00029334,0.00024964,0.00025068,0.00015271,0.00016718,-0.0011424,0.00015149,0.00021088,0.00024384,8.2461e-05,0.00023731,0.0001045,0.00024024,0.00015271
9.6255e-05,0.00028224,0.00021613,0.00023365,0.00010578,0.00011585,-0.0011548,0.00012329,0.00018451,0.00022596,7.6662e-05,0.00022315,6.8484e-05,0.00020112,0.00012012
