1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0,0,0,0,0,0,0,0,0,0,0,0.78657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.10671,0,0,0,2.1633e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.10671,0,0,0,2.9711e-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1633e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.78657,0,0,0,7.4736e-252,0,0,0,0,0,0,0,0,0,0,2.1633e-314,2.1633e-314,0,0,0,0,0,0,0,2.9711e-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.10645,0,0,0,3.4432e-223,0,0,0,0,0,0,0,0,0,0,2.9711e-282,2.9711e-282,0,0,0,0,0,0,0,7.4736e-252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.00026387,0,0,0,2.9055e-196,0,0,0,0,2.1633e-314,0,0,0,0,0,7.4736e-252,7.4736e-252,2.1633e-314,0,0,0,0,0,0,3.4432e-223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.1979e-08,0,0,0,4.4906e-171,0,0,0,0,2.9711e-282,0,0,0,0,0,3.4432e-223,3.4432e-223,2.9711e-282,0,0,0,0,0,0,2.9055e-196,0,0,0,0,0,0,0,0,0,0,0,2.1633e-314,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,9.9613e-15,0,0,0,1.2712e-147,0,0,0,0,7.4736e-252,0,0,0,0,0,2.9055e-196,2.9055e-196,7.4736e-252,0,0,0,0,0,0,4.4906e-171,0,0,0,0,0,0,0,0,0,0,0,2.9711e-282,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.5171e-22,0,0,0,6.5906e-126,0,0,0,0,3.4432e-223,0,0,0,0,0,4.4906e-171,4.4906e-171,3.4432e-223,0,0,0,0,0,0,1.2712e-147,0,2.1633e-314,0,0,0,0,0,0,0,0,0,7.4736e-252,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4.2319e-32,0,0,0,6.2585e-106,0,0,0,0,2.9055e-196,0,0,0,0,0,1.2712e-147,1.2712e-147,2.9055e-196,0,0,0,0,0,0,6.5906e-126,0,2.9711e-282,0,0,0,0,0,0,0,0,0,3.4432e-223,0,0,0,0,0,0
