1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,2.1188e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6896,0,0,0,0,0,0,0,0,0,0.40338,0,0,0,0,0,0,0,0,0,7.9988e-38,0,0,0,0,1.6246e-79,0,0,2.1188e-27,1.6246e-79,0,0,0,0.053991,0,0,0,0,0
0,7.6946e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0927,0,0,0,0,0,0,0,0,0,0.2961,0,0,0,0,0,0,0,0,0,2.1464e-32,0,0,0,0,1.7587e-71,0,0,7.6946e-23,1.7587e-71,0,0,0,0.24197,0,0,0,0,0
0,1.028e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9654,0,0,0,0,0,0,0,0,0,0.30053,0,0,0,0,0,0,0,0,0,2.1188e-27,0,0,0,0,7.0042e-64,0,0,1.028e-18,7.0042e-64,0,0,0,0.39894,0,0,5.5209e-88,0,0
0,5.0523e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34042,0,0,0,0,0,0,0,0,0,0.4618,0,0,0,0,0,0,0,0,0,7.6946e-23,0,0,0,0,1.0262e-56,0,0,5.0523e-15,1.0262e-56,0,0,0,0.24197,0,0,1.6246e-79,0,0
0,9.1347e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27989,0,0,0,0,0,0,0,0,0,0.53807,0,0,0,0,0,0,0,0,0,1.028e-18,0,0,0,0,5.5307e-50,0,0,9.1347e-12,5.5307e-50,0,0,0,0.053991,0,0,1.7587e-71,0,0
0,6.0759e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0356,0,0,0,0,0,0,0,0,0,0.69491,0,0,0,0,0,0,0,0,0,5.0523e-15,0,0,0,0,1.0966e-43,0,0,6.0759e-09,1.0966e-43,0,0,0,0.0044318,0,0,7.0042e-64,0,0
0,1.4867e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9547,0,0,0,0,0,0,0,0,0,0.64534,0,0,0,0,0,0,0,0,0,9.1347e-12,0,0,0,0,7.9988e-38,0,0,1.4867e-06,7.9988e-38,0,0,0,0.00013383,0,0,1.0262e-56,0,0
0,0.00013383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9588,0,0,0,0,0,0,0,0,0,0.2961,0,0,0,0,0,0,0,0,0,6.0759e-09,0,0,0,0,2.1464e-32,0,0,0.00013383,2.1464e-32,0,0,0,1.4867e-06,0,0,5.5307e-50,0,0
0,0.0044318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7398,0,0,0,0,0,0,0,0,0,0.058424,0,0,0,0,0,0,0,0,0,1.4867e-06,0,0,0,0,2.1188e-27,0,0,0.0044318,2.1188e-27,0,0,0,1.2152e-08,0,0,1.0966e-43,0,0
0,0.053991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3538,0,0,0,0,0,0,0,0,0,0.0045657,0,0,0,0,0,0,0,0,0,0.00013383,0,0,0,0,7.6946e-23,0,0,0.053991,7.6946e-23,0,0,0,1.4867e-06,0,0,7.9988e-38,0,0
